"date_time","value"
"30/08/2018 22:30:00","28.01"
"30/08/2018 22:00:00","30.29"
"30/08/2018 21:30:00","32.65"
"30/08/2018 21:00:00","30.95"
"30/08/2018 20:30:00","29.65"
"30/08/2018 20:00:00","29.04"
"30/08/2018 19:30:00","32.86"
"30/08/2018 19:00:00","29.08"
"30/08/2018 18:30:00","31.39"
"30/08/2018 18:00:00","30.85"
"30/08/2018 17:30:00","32.44"
"30/08/2018 17:00:00","29.36"
"30/08/2018 16:30:00","27.51"
"30/08/2018 16:00:00","30.57"
"30/08/2018 15:30:00","29.9"
"30/08/2018 15:00:00","32.68"
"30/08/2018 14:30:00","36.5"
"30/08/2018 14:00:00","32.99"
"30/08/2018 13:30:00","30.49"
"30/08/2018 13:00:00","32.11"
"30/08/2018 12:30:00","30.49"
"30/08/2018 12:00:00","38.11"
"30/08/2018 11:30:00","39.76"
"30/08/2018 11:00:00","36.25"
"30/08/2018 10:30:00","42.98"
"30/08/2018 10:00:00","42.29"
"30/08/2018 09:30:00","38.44"
"30/08/2018 09:00:00","39.9"
"30/08/2018 08:30:00","39.46"
"30/08/2018 08:00:00","37.09"
"30/08/2018 07:30:00","34.92"
"30/08/2018 07:00:00","34.24"
"30/08/2018 06:30:00","31.51"
"30/08/2018 06:00:00","29.04"
"30/08/2018 05:30:00","26.98"
"30/08/2018 05:00:00","28.37"
"30/08/2018 04:30:00","29.14"
"30/08/2018 04:00:00","25.96"
"30/08/2018 03:30:00","27.61"
"30/08/2018 03:00:00","33.96"
"30/08/2018 02:30:00","24.12"
"30/08/2018 02:00:00","26.35"
"30/08/2018 01:30:00","25.59"
"30/08/2018 01:00:00","28.18"
"30/08/2018 00:30:00","27.71"
"30/08/2018 00:00:00","31.42"
"29/08/2018 23:30:00","26.93"
"29/08/2018 23:00:00","30.34"
"29/08/2018 22:30:00","26.87"
"29/08/2018 22:00:00","26.74"
"29/08/2018 21:30:00","32.07"
"29/08/2018 21:00:00","26.77"
"29/08/2018 20:30:00","23.42"
"29/08/2018 20:00:00","24.09"
"29/08/2018 19:30:00","28.77"
"29/08/2018 19:00:00","26.3"
"29/08/2018 18:30:00","27.7"
"29/08/2018 18:00:00","27.27"
"29/08/2018 17:30:00","29.74"
"29/08/2018 17:00:00","34"
"29/08/2018 16:30:00","39.89"
"29/08/2018 16:00:00","36.23"
"29/08/2018 15:30:00","32.47"
"29/08/2018 15:00:00","34.73"
"29/08/2018 14:30:00","39.47"
"29/08/2018 14:00:00","30.21"
"29/08/2018 13:30:00","35.3"
"29/08/2018 13:00:00","35.27"
"29/08/2018 12:30:00","36.37"
"29/08/2018 12:00:00","32.1"
"29/08/2018 11:30:00","37.76"
"29/08/2018 11:00:00","32.08"
"29/08/2018 10:30:00","34.52"
"29/08/2018 10:00:00","41.75"
"29/08/2018 09:30:00","33.7"
"29/08/2018 09:00:00","33.02"
"29/08/2018 08:30:00","40.36"
"29/08/2018 08:00:00","41.88"
"29/08/2018 07:30:00","38.21"
"29/08/2018 07:00:00","36.51"
"29/08/2018 06:30:00","29.57"
"29/08/2018 06:00:00","24.94"
"29/08/2018 05:30:00","24.35"
"29/08/2018 05:00:00","24.93"
"29/08/2018 04:30:00","25.19"
"29/08/2018 04:00:00","23.52"
"29/08/2018 03:30:00","22.39"
"29/08/2018 03:00:00","29.61"
"29/08/2018 02:30:00","21.25"
"29/08/2018 02:00:00","28.46"
"29/08/2018 01:30:00","26.91"
"29/08/2018 01:00:00","27.85"
"29/08/2018 00:30:00","23.49"
"29/08/2018 00:00:00","23.53"
"28/08/2018 23:30:00","29.73"
"28/08/2018 23:00:00","25.33"
"28/08/2018 22:30:00","24.21"
"28/08/2018 22:00:00","25.13"
"28/08/2018 21:30:00","26.27"
"28/08/2018 21:00:00","25.11"
"28/08/2018 20:30:00","21.74"
"28/08/2018 20:00:00","25.24"
"28/08/2018 19:30:00","24.38"
"28/08/2018 19:00:00","23.91"
"28/08/2018 18:30:00","23.79"
"28/08/2018 18:00:00","24.4"
"28/08/2018 17:30:00","26.42"
"28/08/2018 17:00:00","25.85"
"28/08/2018 16:30:00","26.63"
"28/08/2018 16:00:00","26.48"
"28/08/2018 15:30:00","30.1"
"28/08/2018 15:00:00","28.73"
"28/08/2018 14:30:00","30.81"
"28/08/2018 14:00:00","31.89"
"28/08/2018 13:30:00","37.51"
"28/08/2018 13:00:00","37.92"
"28/08/2018 12:30:00","35.94"
"28/08/2018 12:00:00","36.93"
"28/08/2018 11:30:00","36.87"
"28/08/2018 11:00:00","32.76"
"28/08/2018 10:30:00","34.78"
"28/08/2018 10:00:00","40.76"
"28/08/2018 09:30:00","34.31"
"28/08/2018 09:00:00","35.64"
"28/08/2018 08:30:00","38.01"
"28/08/2018 08:00:00","38.76"
"28/08/2018 07:30:00","39.06"
"28/08/2018 07:00:00","36.69"
"28/08/2018 06:30:00","34.45"
"28/08/2018 06:00:00","31.96"
"28/08/2018 05:30:00","27.17"
"28/08/2018 05:00:00","28.75"
"28/08/2018 04:30:00","26.14"
"28/08/2018 04:00:00","25.27"
"28/08/2018 03:30:00","23.49"
"28/08/2018 03:00:00","29.06"
"28/08/2018 02:30:00","20.95"
"28/08/2018 02:00:00","27.57"
"28/08/2018 01:30:00","29.47"
"28/08/2018 01:00:00","27.41"
"28/08/2018 00:30:00","22.47"
"28/08/2018 00:00:00","20.97"
"27/08/2018 23:30:00","20.85"
"27/08/2018 23:00:00","24.14"
"27/08/2018 22:30:00","21.28"
"27/08/2018 22:00:00","21.64"
"27/08/2018 21:30:00","21.15"
"27/08/2018 21:00:00","25.2"
"27/08/2018 20:30:00","22.23"
"27/08/2018 20:00:00","23.77"
"27/08/2018 19:30:00","25.19"
"27/08/2018 19:00:00","25.46"
"27/08/2018 18:30:00","26.05"
"27/08/2018 18:00:00","23.48"
"27/08/2018 17:30:00","26.97"
"27/08/2018 17:00:00","30.65"
"27/08/2018 16:30:00","34.23"
"27/08/2018 16:00:00","33.76"
"27/08/2018 15:30:00","32.64"
"27/08/2018 15:00:00","35.3"
"27/08/2018 14:30:00","38.14"
"27/08/2018 14:00:00","31.73"
"27/08/2018 13:30:00","27.48"
"27/08/2018 13:00:00","28.1"
"27/08/2018 12:30:00","25.72"
"27/08/2018 12:00:00","38.15"
"27/08/2018 11:30:00","30.17"
"27/08/2018 11:00:00","40.1"
"27/08/2018 10:30:00","31.98"
"27/08/2018 10:00:00","39.91"
"27/08/2018 09:30:00","38.43"
"27/08/2018 09:00:00","34.87"
"27/08/2018 08:30:00","34.05"
"27/08/2018 08:00:00","39.34"
"27/08/2018 07:30:00","35.63"
"27/08/2018 07:00:00","35.09"
"27/08/2018 06:30:00","28.64"
"27/08/2018 06:00:00","25.11"
"27/08/2018 05:30:00","24.94"
"27/08/2018 05:00:00","24.28"
"27/08/2018 04:30:00","24"
"27/08/2018 04:00:00","23.24"
"27/08/2018 03:30:00","19.99"
"27/08/2018 03:00:00","27.57"
"27/08/2018 02:30:00","19.49"
"27/08/2018 02:00:00","25.61"
"27/08/2018 01:30:00","27.19"
"27/08/2018 01:00:00","27.09"
"27/08/2018 00:30:00","26.3"
"10/09/2018 00:00:00","22.82"
"09/09/2018 23:30:00","25.32"
"09/09/2018 23:00:00","25.49"
"09/09/2018 22:30:00","23.71"
"09/09/2018 22:00:00","18.98"
"09/09/2018 21:30:00","16.82"
"09/09/2018 21:00:00","18.9"
"09/09/2018 20:30:00","19.77"
"09/09/2018 20:00:00","21.67"
"09/09/2018 19:30:00","23.88"
"09/09/2018 19:00:00","18.42"
"09/09/2018 18:30:00","15.08"
"09/09/2018 18:00:00","16.23"
"09/09/2018 17:30:00","15.79"
"09/09/2018 17:00:00","17.1"
"09/09/2018 16:30:00","15.24"
"09/09/2018 16:00:00","18.21"
"09/09/2018 15:30:00","15.52"
"09/09/2018 15:00:00","16.55"
"09/09/2018 14:30:00","17.1"
"09/09/2018 14:00:00","18.51"
"09/09/2018 13:30:00","14.95"
"09/09/2018 13:00:00","15.49"
"09/09/2018 12:30:00","15.34"
"09/09/2018 12:00:00","16.5"
"09/09/2018 11:30:00","19.69"
"09/09/2018 11:00:00","17.29"
"09/09/2018 10:30:00","19.96"
"09/09/2018 10:00:00","26.08"
"09/09/2018 09:30:00","26.38"
"09/09/2018 09:00:00","26.94"
"09/09/2018 08:30:00","26.44"
"09/09/2018 08:00:00","27.14"
"09/09/2018 07:30:00","26.35"
"09/09/2018 07:00:00","28.9"
"09/09/2018 06:30:00","26.85"
"09/09/2018 06:00:00","28.12"
"09/09/2018 05:30:00","27.06"
"09/09/2018 05:00:00","36.06"
"09/09/2018 04:30:00","46.85"
"09/09/2018 04:00:00","45.6"
"09/09/2018 03:30:00","40.34"
"09/09/2018 03:00:00","33.29"
"09/09/2018 02:30:00","20.26"
"09/09/2018 02:00:00","23.05"
"09/09/2018 01:30:00","26.69"
"09/09/2018 01:00:00","25.63"
"09/09/2018 00:30:00","34.68"
"09/09/2018 00:00:00","23.32"
"08/09/2018 23:30:00","24.6"
"08/09/2018 23:00:00","24.09"
"08/09/2018 22:30:00","25.44"
"08/09/2018 22:00:00","18.07"
